"Date (A)","Verse Text (B)","Reference (C)","Season","Theme","Encouragement (F)","Reflection Prompt (G)"
"2026-06-16","“He arose, and came to his father. But while he was still far off, his father saw him, and was moved with compassion, and ran, and fell on his neck, and kissed him.","Luke 15:20","Coming Home","The Father Runs Toward You","",""
"2026-06-17","Yahweh is near to those who have a broken heart, and saves those who have a crushed spirit.","Psalm 34:18","Coming Home","God Is Near the Broken","",""
"2026-06-18","“Come to me, all you who labor and are heavily burdened, and I will give you rest.","Matthew 11:28","Coming Home","Come and Rest","",""
"2026-06-19","I have blotted out, as a thick cloud, your transgressions, and, as a cloud, your sins. Return to me, for I have redeemed you.","Isaiah 44:22","Coming Home","Redeemed and Called Back","",""
"2026-06-20","For the Son of Man came to seek and to save that which was lost.”","Luke 19:10","Coming Home","Jesus Seeks the Lost","",""
"2026-06-21","But God, being rich in mercy, for his great love with which he loved us, even when we were dead through our trespasses, made us alive together with Christ (by grace you have been saved),","Ephesians 2:4-5","Coming Home","Mercy Before Merit","",""
"2026-06-22","“Be still, and know that I am God. I will be exalted among the nations. I will be exalted in the earth.”","Psalm 46:10","Coming Home (Sabbath)","Be Still","",""
"2026-06-23","Therefore if anyone is in Christ, he is a new creation. The old things have passed away. Behold, all things have become new.","2 Corinthians 5:17","Coming Home","Made New","",""
"2026-06-24","But now Yahweh who created you, Jacob, and he who formed you, Israel says: “Don’t be afraid, for I have redeemed you. I have called you by your name. You are mine.","Isaiah 43:1","Coming Home","Called By Name","",""
"2026-06-25","All those whom the Father gives me will come to me. He who comes to me I will in no way throw out.","John 6:37","Coming Home","Welcomed, Not Rejected","",""
"2026-06-26","Let us therefore draw near with boldness to the throne of grace, that we may receive mercy, and may find grace for help in time of need.","Hebrews 4:16","Coming Home","Grace to Approach","",""
"2026-06-27","Yahweh appeared of old to me, saying, “Yes, I have loved you with an everlasting love. Therefore I have drawn you with loving kindness.","Jeremiah 31:3","Coming Home","Everlasting Love","",""
"2026-06-28","We love him, because he first loved us.","1 John 4:19","Coming Home","Loved First","",""
"2026-06-29","Return to your rest, my soul, for Yahweh has dealt bountifully with you.","Psalm 116:7","Coming Home (Sabbath)","Return to Rest","",""
"2026-06-30","I will get up and go to my father, and will tell him, “Father, I have sinned against heaven, and in your sight.","Luke 15:18","Coming Home","Honest Return","",""
"2026-07-01","But God commends his own love toward us, in that while we were yet sinners, Christ died for us.","Romans 5:8","Coming Home","Loved While Messy","",""
"2026-07-02","He heals the broken in heart, and binds up their wounds.","Psalm 147:3","Coming Home","Healing the Wounded","",""
"2026-07-03","for by grace you have been saved through faith, and that not of yourselves; it is the gift of God,","Ephesians 2:8","Coming Home","Saved by Grace","",""
"2026-07-04","“I will seek that which was lost, and will bring back that which was driven away, and will bind up that which was broken, and will strengthen that which was sick; but I will destroy the fat and the strong. I will feed them in justice.”’","Ezekiel 34:16","Coming Home","The Shepherd Seeks","",""
"2026-07-05","For the grace of God has appeared, bringing salvation to all men,","Titus 2:11","Coming Home","Grace Has Appeared","",""
"2026-07-06","Yahweh is my shepherd: I shall lack nothing.","Psalm 23:1","Coming Home (Sabbath)","The Shepherd Is Enough","",""
"2026-07-07","I will give thanks to you, for I am fearfully and wonderfully made. Your works are wonderful. My soul knows that very well.","Psalm 139:14","Being Known","Wonderfully Made","",""
"2026-07-08","even as he chose us in him before the foundation of the world, that we would be holy and without defect before him in love;","Ephesians 1:4","Being Known","Chosen Before You Knew","",""
"2026-07-09","Since you have been precious and honored in my sight, and I have loved you; therefore I will give people in your place, and nations instead of your life.","Isaiah 43:4","Being Known","Precious in His Sight","",""
"2026-07-10","See how great a love the Father has given to us, that we should be called children of God! For this cause the world doesn’t know us, because it didn’t know him.","1 John 3:1","Being Known","Called Children of God","",""
"2026-07-11","Yahweh, you have searched me, and you know me.","Psalm 139:1","Being Known","Fully Known","",""
"2026-07-12","For we are his workmanship, created in Christ Jesus for good works, which God prepared before that we would walk in them.","Ephesians 2:10","Being Known","God's Workmanship","",""
"2026-07-13","For I am persuaded that neither death, nor life, nor angels, nor principalities, nor things present, nor things to come, nor powers, nor height, nor depth, nor any other created thing, will be able to separate us from God’s love, which is in Christ Jesus our Lord.","Romans 8:38-39","Being Known (Sabbath)","Rest in Being Loved","",""
"2026-07-14","Behold, I have engraved you on the palms of my hands. your walls are continually before me.","Isaiah 49:16","Being Known","Written on His Hands","",""
"2026-07-15","I am the good shepherd. I know my own, and I’m known by my own;","John 10:14","Being Known","Known by the Shepherd","",""
"2026-07-16","For you didn’t receive the spirit of bondage again to fear, but you received the Spirit of adoption, by whom we cry, “Abba! Father!”","Romans 8:15","Being Known","No Fear in Adoption","",""
"2026-07-17","Put on therefore, as God’s chosen ones, holy and beloved, a heart of compassion, kindness, lowliness, humility, and perseverance;","Colossians 3:12","Being Known","Chosen and Beloved","",""
"2026-07-18","You know my sitting down and my rising up. You perceive my thoughts from afar.","Psalm 139:2","Being Known","God Knows Your Sitting and Rising","",""
"2026-07-19","No longer do I call you servants, for the servant doesn’t know what his lord does. But I have called you friends, for everything that I heard from my Father, I have made known to you.","John 15:15","Being Known","Not Servants, But Friends","",""
"2026-07-20","Yahweh, your God, is among you, a mighty one who will save. He will rejoice over you with joy. He will calm you in his love. He will rejoice over you with singing.","Zephaniah 3:17","Being Known (Sabbath)","Quieted by Love","",""
"2026-07-21","But you are a chosen race, a royal priesthood, a holy nation, a people for God’s own possession, that you may proclaim the excellence of him who called you out of darkness into his marvelous light:","1 Peter 2:9","Being Known","A Treasured People","",""
"2026-07-22","“Before I formed you in the womb, I knew you. Before you were born, I sanctified you. I have appointed you a prophet to the nations.”","Jeremiah 1:5","Being Known","Known Before Birth","",""
"2026-07-23","About Benjamin he said, “The beloved of Yahweh will dwell in safety by him. He covers him all day long. He dwells between his shoulders.”","Deuteronomy 33:12","Being Known","Delighted Over","",""
"2026-07-24","But you, when you pray, enter into your inner room, and having shut your door, pray to your Father who is in secret, and your Father who sees in secret will reward you openly.","Matthew 6:6","Being Known","Seen in Secret","",""
"2026-07-25","Even there your hand will lead me, and your right hand will hold me.","Psalm 139:10","Being Known","Held Fast","",""
"2026-07-26","In him you also, having heard the word of the truth, the Good News of your salvation—in whom, having also believed, you were sealed with the promised Holy Spirit,","Ephesians 1:13","Being Known","Sealed With the Spirit","",""
"2026-07-27","You will keep whoever’s mind is steadfast in perfect peace, because he trusts in you.","Isaiah 26:3","Being Known (Sabbath)","Held in Perfect Peace","",""
"2026-07-28","How long, Yahweh? Will you forget me forever? How long will you hide your face from me?","Psalm 13:1","In the Valley","Honest Lament","",""
"2026-07-29","You count my wanderings. You put my tears into your bottle. Aren’t they in your book?","Psalm 56:8","In the Valley","Tears Are Seen","",""
"2026-07-30","Then he said to them, “My soul is exceedingly sorrowful, even to death. Stay here, and watch with me.”","Matthew 26:38","In the Valley","Jesus Knows Sorrow","",""
